id	author	book_title	publisher	Genre
110	Celle Rothery	Dodgeball: A True Underdog Story	Harper Collins	Self-help
111	Crystal Dagger	George Harrison: Living in the Material World	Harper Collins	Thriller
112	Gerry Amphlett	Bill & Ted's Bogus Journey	Simon & Schuster	Self-help
113	Pete Streeting	Scrooged	Simon & Schuster	Science
114	Curtis Gibbings	"8 Diagram Pole Fighter, The (a.k.a. Invincible Pole Fighter) (Wu Lang ba gua gun)"	Hachette	Languages
115	Melloney Ansell	American Soldiers	Penguin	Languages
116	Ervin Hudel	"Corridor, The (Koridorius)"	Simon & Schuster	Self-help
117	Lilia Ferrieri	"Bar at the Victoria Station, A (Bar na Victorii)"	Harper Collins	Psychology
118	Fancy Ireson	The New Girlfriend	MacMillan	Science
119	Leonore Ferraretto	Hemingway & Gellhorn	MacMillan	Languages
120	Lion Zoanetti	There Be Dragons	Penguin	Languages
121	Aubry Jacobsz	"Kind of Loving, A"	Harper Collins	Romancs
122	Goran McCart	Kissing a Fool	Hachette	Languages
123	Agnola Thieme	Rampo (a.k.a. The Mystery of Rampo)	Harper Collins	Self-help
124	Christopher Corbally	Intolerable Cruelty	MacMillan	Languages
125	Niles Beedle	I Am Jesus	Harper Collins	Science
126	Nell Bryning	"Low Down Dirty Shame, A"	Penguin	Self-help
127	Susann Rushmare	North by Northwest	Simon & Schuster	Languages
128	Obadiah Patmore	Tropical Malady (Sud pralad)	MacMillan	Romancs
129	Cesare Abbets	Portrait Werner Herzog	MacMillan	Languages
130	Bear Kleinhaus	Jonny Vang	MacMillan	Science
131	Minetta Faustian	Merry Christmas Mr. Lawrence	Harper Collins	Science
132	Thatcher Samwayes	"Deadly Trap, The (La maison sous les arbres)"	Simon & Schuster	Languages
133	Nisse Goudie	Reindeerspotting - Pako joulumaasta	Harper Collins	Romancs
134	Sharron Scuffham	Mambo Italiano	Simon & Schuster	Romancs
135	Brina Craggs	Cannibal Holocaust	Simon & Schuster	Psychology
136	Ronald Anthes	Miss Sadie Thompson	Penguin	Thriller
137	Clerissa Karolyi	Faces in the Crowd	Hachette	Science
138	Lanna Mabey	Hardcore	Penguin	Science
139	Ursala Chasier	Dots	MacMillan	Self-help
140	Berthe McCafferky	Apartment for Peggy	Penguin	Romancs
141	Calv Zanardii	Winter's Tale	Hachette	Romancs
142	Andromache Giacobelli	Death Hunt	Simon & Schuster	Psychology
143	Shelley Synnott	Princess Ka'iulani	Simon & Schuster	Self-help
144	Harald Gurr	Children of the Corn V: Fields of Terror	Simon & Schuster	Science
145	Phyllida Jennaway	Not My Type	Hachette	Languages
146	Mireielle Flagg	Back Stage	Penguin	Thriller
147	Harv Savins	"Tom, Tom, the Piper's Son"	MacMillan	Self-help
148	Rica Langstone	Charley Varrick	Penguin	Languages
149	Lucia Summerside	"Code, The (Mentale, La)"	Simon & Schuster	Thriller
150	Andee Burdekin	"Court-Martial of Billy Mitchell, The"	Simon & Schuster	Languages
151	Tracie Hinz	They Have Escaped (He ovat paenneet)	MacMillan	Science
152	Elnar Dowyer	Lumiere and Company (Lumière et compagnie)	MacMillan	Languages
153	Guthrie Plank	Three Kings	Penguin	Psychology
154	Bibbye Stockney	Reagan	Penguin	Psychology
155	Kirbee Duns	Eminem AKA 	Hachette	Thriller
156	Alaric Sharphurst	Blue Swallow (Cheong yeon)	Harper Collins	Self-help
157	Linda Pauley	Ms. 45 (a.k.a. Angel of Vengeance)	Harper Collins	Romancs
158	Adaline Bentke	Infernal Affairs III (Mou gaan dou III: Jung gik mou gaan)	Penguin	Romancs
159	Lori Luetkemeyer	Dance with Me	Hachette	Psychology
160	Inessa Ferrie	Bells from the Deep	Harper Collins	Self-help
161	Orel Pranger	The Golden Eye	Simon & Schuster	Self-help
162	Josias Musicka	Anything Else	Hachette	Psychology
163	Dewey Romney	Map of the Human Heart	MacMillan	Self-help
164	Haley Olyunin	Private Romeo	MacMillan	Thriller
165	Lazar Coughan	Record of a Tenement Gentleman (Nagaya shinshiroku)	Harper Collins	Science
166	Helena Culross	Crooklyn	Harper Collins	Science
167	Lacey Djurdjevic	Hitch	Penguin	Languages
168	Estele Langman	In Time	Hachette	Thriller
169	Corrine Dibley	Fathom	MacMillan	Romancs
170	Alistair Sothcott	Henry & June	Harper Collins	Psychology
171	Chelsie Manginot	The Nautical Chart	Hachette	Languages
172	Pauly Von Der Empten	"Wild, Wild Planet (I criminali della galassia)"	Harper Collins	Thriller
173	Freeland Sidry	Frankenstein and the Monster from Hell	Simon & Schuster	Self-help
174	Arda Tuffs	Open Heart	Harper Collins	Science
175	Nertie Bridgestock	Adaptation	Penguin	Self-help
176	Ginny Flasby	Ice Men	Hachette	Romancs
177	Rivalee Khalid	Songcatcher	Hachette	Languages
178	Martin Fawckner	Kukuli	Simon & Schuster	Romancs
179	Agna Bessent	Aujourd'hui	Simon & Schuster	Romancs
180	Llewellyn Bickmore	Manolito Four Eyes	Harper Collins	Self-help
181	Robbert Aicheson	Running Out of Time (Am zin)	Penguin	Languages
182	Abran Tinman	"Ninth Configuration, The (a.k.a. Twinkle, Twinkle, Killer Kane)"	Penguin	Self-help
183	Clementia MacWhirter	Never Cry Wolf	Penguin	Psychology
184	Gusty Marcombe	Born to Be Bad	Harper Collins	Languages
185	Carolina Nanetti	Kid Cannabis	Hachette	Science
186	Marcela Klimontovich	Look What's Happened to Rosemary's Baby (a.k.a. Rosemary's Baby II)	Harper Collins	Science
187	Johny Gratrex	Waking Madison 	Simon & Schuster	Psychology
188	Guglielmo Osboldstone	Hunger	Penguin	Thriller
189	Chip Burstowe	Sweet Sixteen	MacMillan	Romancs
190	Marlo Capelow	"Wild Party, The"	MacMillan	Self-help
191	Ellary Cruickshank	Dream for an Insomniac	Penguin	Psychology
192	Julie Fern	Superman/Batman: Public Enemies	Hachette	Science
193	Zena Stansby	See No Evil	Penguin	Romancs
194	Joel Welford	Happiness	Penguin	Psychology
195	Mathian Sellar	"Sword of Doom, The (Dai-bosatsu tôge)"	Penguin	Science
196	Pepillo Henfre	Galician Caress (Of Clay)	Simon & Schuster	Science
197	Gallard Marcinkowski	American Boy: A Profile of: Steven Prince	Penguin	Psychology
198	Llewellyn Trent	Grand Masti	MacMillan	Science
199	Steffen Rabbitt	Scott Joplin	Penguin	Psychology
200	Gisela Kearsley	Mandingo	Harper Collins	Self-help
201	Helenka Sidebotham	"Adventures of Picasso, The (Picassos äventyr)"	Harper Collins	Self-help
202	Kattie Yellep	Torrid Zone	Simon & Schuster	Thriller
203	Gray Daffey	Jaws	Penguin	Romancs
204	Phip Kobpac	Mickey's The Prince and the Pauper	Harper Collins	Science
205	Arel Cassedy	"Little Drummer Boy, The"	Harper Collins	Languages
206	Leonanie Hiorn	"Paris, I Love You (Paris, je t'aime)"	Simon & Schuster	Romancs
207	Bobbee Danick	"Noose, The (Petla)"	MacMillan	Romancs
208	Annalee Stanesby	"Last Broadcast, The"	Hachette	Psychology
209	Dara Varfalameev	Rare Exports: A Christmas Tale (Rare Exports)	Harper Collins	Psychology
210	Michel Stourton	Back in Business	MacMillan	Self-help
211	Vera Filchagin	For Richer or Poorer	Harper Collins	Languages
212	Delila Vitte	One 2 Ka 4	Simon & Schuster	Languages
213	Selene MacAscaidh	Brick	Hachette	Romancs
214	Graeme Baudichon	Friends with Kids	Harper Collins	Science
215	Denna Deeman	Ponyo (Gake no ue no Ponyo)	Simon & Schuster	Self-help
216	Stevie Delort	Madonna's Pig	Penguin	Self-help
217	Coop Thaller	Land Before Time III: The Time of the Great Giving	MacMillan	Science
218	Martynne Wattam	Hothead (Coup de tête)	Penguin	Self-help
219	Jordain Symers	5 Dolls for an August Moon (5 bambole per la luna d'agosto)	MacMillan	Psychology
220	Reina Carnelley	"Unholy Three, The"	Penguin	Thriller
221	Dilly Kuller	"Good Son, The"	MacMillan	Science
222	Cece Trinder	Outlander	Hachette	Self-help
223	Auroora Rentoll	Earth to Echo	MacMillan	Languages
224	Monah Marquese	"Lamp in the Dark; The Untold History of the Bible, A"	MacMillan	Psychology
225	Fredelia Golde	"World's Greatest Athlete, The"	MacMillan	Languages
226	Joshia Fourcade	Song of the Little Road (Pather Panchali)	Penguin	Romancs
227	Agna Boggis	"Atlantis, the Lost Continent"	MacMillan	Languages
228	Minerva Frears	Smiling Fish and Goat on Fire	MacMillan	Romancs
229	Raina Bredee	Winter War (Talvisota)	Simon & Schuster	Science
230	Ileane Ahlin	"Charming Mass Suicide, A (Hurmaava joukkoitsemurha)"	Simon & Schuster	Self-help
231	Pennie Hort	I Still Know What You Did Last Summer	Hachette	Languages
232	Audry Joubert	Midnight Mary	MacMillan	Thriller
233	Borden Arckoll	The Butter Battle Book	Penguin	Thriller
234	Ginelle MacKnight	Li'l Abner	MacMillan	Thriller
235	Dorian Wickey	Girl of Finland (Lapualaismorsian)	Simon & Schuster	Thriller
236	Rees Esland	"Devil at 4 O'Clock, The"	MacMillan	Romancs
237	Hanan Hinksen	Alpha and Omega	Harper Collins	Thriller
238	Estel Breazeall	"Bothersome Man, The (Brysomme mannen, Den)"	Hachette	Languages
239	Melody Godbald	12 Rounds 2: Reloaded	Harper Collins	Languages
240	Torey Beldam	It's Good to Be Alive	Simon & Schuster	Romancs
241	Eula Spinage	Bulletproof	Simon & Schuster	Science
242	Murray Torpie	Paisan (Paisà)	Hachette	Romancs
243	Ashbey de Savery	"19th Wife, The"	Penguin	Romancs
244	Julietta Woliter	De-Lovely	Harper Collins	Psychology
245	Juli Dennert	Billy's Hollywood Screen Kiss	Hachette	Thriller
246	Shepperd Perel	Hulk	Harper Collins	Self-help
247	Joshua Stroder	Yi Yi	Simon & Schuster	Psychology
248	Tabina Rosier	Gross Anatomy (a.k.a. A Cut Above)	Hachette	Thriller
249	Yankee Vakhrushev	Slipstream	Harper Collins	Romancs
250	Cirilo Archibold	Promised Land	Penguin	Psychology
251	Shelley Jermin	Conman (Du Xia 1999)	Hachette	Romancs
252	Kinny Heckle	Get on the Bus	Hachette	Romancs
253	Brande Kruszelnicki	Mary Reilly	Simon & Schuster	Thriller
254	Thurstan Sinnatt	Executioners (Xian dai hao xia zhuan)	MacMillan	Romancs
255	Krystyna Sercombe	Blue Skies	Harper Collins	Psychology
256	Wolfie Bools	See No Evil	Penguin	Thriller
257	Link Spurrett	"Zorro, the Gay Blade"	MacMillan	Languages
258	Ester Giamo	"Snow Queen, The (Lumikuningatar)"	Penguin	Languages
259	Lorelle Pedrol	Until Death	MacMillan	Science
260	Ernst Headland	Last Passenger	Simon & Schuster	Thriller
261	Van Holah	Letters to Father Jacob (Postia pappi Jaakobille)	Penguin	Psychology
262	Wash Bolmann	"Secret Life of Zoey, The"	Simon & Schuster	Science
263	Consuela Skillman	"Amati Girls, The"	Harper Collins	Languages
264	Ailee Withnall	How to Marry a Millionaire	Penguin	Self-help
265	Demetri Chattaway	"King of Kings, The"	Simon & Schuster	Languages
266	Goraud Cliss	Paperhouse	Simon & Schuster	Psychology
267	Orv Cattroll	Snarveien (Detour)	MacMillan	Psychology
268	Jody Bartlett	"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime)"	MacMillan	Romancs
269	Edythe Fasey	Opposite Day	Simon & Schuster	Thriller
270	Sianna Burrass	Vertical Limit	MacMillan	Languages
271	Dukey Belliard	Hotel Pacific (Zaklete rewiry)	Simon & Schuster	Romancs
272	Cortie Keeping	"Cross of Lorraine, The"	Hachette	Languages
273	Octavius Hayles	Intouchables	Penguin	Languages
274	Ingrid Uvedale	Ernest Saves Christmas	Harper Collins	Thriller
275	Seana Lomond	"Promise, The (Wu ji)"	Penguin	Psychology
276	Elyn Frankiewicz	Only the Lonely	Harper Collins	Romancs
277	Isaiah Carslaw	Puss in Boots (Nagagutsu o haita neko)	Harper Collins	Thriller
278	Vin Nourse	The New Girlfriend	Simon & Schuster	Self-help
279	Kassandra Yole	Rio	MacMillan	Languages
280	Emilio Slegg	"Bohème, La"	Hachette	Psychology
281	Foss Handlin	Casino Jack	MacMillan	Romancs
282	Sapphire Fradgley	Big Eden	Hachette	Languages
283	Mallissa De Souza	"Final Season, The"	Hachette	Languages
284	Derrik Lettington	O.C. and Stiggs	Hachette	Science
285	Mufi Lack	Valentin (Valentín)	Simon & Schuster	Languages
286	Guglielmo MacSweeney	"Three Marias, The (Três Marias, As)"	Harper Collins	Science
287	Marthena Treharne	"Case Against 8, The"	Simon & Schuster	Romancs
288	Amberly Owttrim	"Children of Noisy Village, The (a.k.a Children of Bullerby Village, The) (Alla vi barn i Bullerbyn)"	Harper Collins	Science
289	Kylen Cadany	"Terror, The"	Simon & Schuster	Languages
290	Helli Paffley	The King and Four Queens	MacMillan	Science
291	Dosi Reuther	"Manchurian Candidate, The"	Penguin	Science
292	Arlina Bankhurst	Sex Drive	Simon & Schuster	Languages
293	Nora Prate	"South of Heaven, West of Hell"	Simon & Schuster	Science
294	Anett Whittle	Willy Wonka & the Chocolate Factory	Penguin	Psychology
295	Marcellina Elflain	Three Men and a Cradle (3 hommes et un couffin)	Harper Collins	Thriller
296	Flem Dearn	Downhill Racer	Simon & Schuster	Romancs
297	Sven Pevreal	The Last Five Years	Hachette	Science
298	Grayce Vinker	X-Men: The Last Stand	Penguin	Psychology
299	Orv Ovendale	Demonic Toys	Harper Collins	Thriller
300	Lethia Raden	Ballou	Simon & Schuster	Self-help
301	Ludvig Greetland	Anima Mundi	Simon & Schuster	Psychology
302	Jill Pennone	On the Ice	Harper Collins	Romancs
303	Deborah Salkild	Phyllis and Harold	MacMillan	Science
304	Fenelia Benit	"Son, The (Le fils)"	MacMillan	Thriller
305	Rosetta Krzysztof	Nazareno Cruz and the Wolf	Hachette	Romancs
306	Shandee Klisch	Tall Tale	Penguin	Languages
307	Bonita Blaik	Ten Canoes	Harper Collins	Self-help
308	Aveline Grimley	My Science Project	Penguin	Self-help
309	Myrtia Lethley	Wholly Moses	MacMillan	Science
310	Alexa Truggian	"Cousins, The (Cousins, Les)"	Harper Collins	Thriller
311	Melantha Casaccio	Stolen	Simon & Schuster	Thriller
312	Huntlee Muckley	"Captive, The"	Penguin	Psychology
313	Barde Mildenhall	Opportunity Knocks	Hachette	Languages
314	Hi Franses	Pompeii	Simon & Schuster	Science
315	Ewell Crates	Pickpocket	Hachette	Self-help
316	Rosabelle Betterton	Cast Away	MacMillan	Languages
317	Hephzibah Anfosso	Ladies in Lavender	Penguin	Science
318	Charlean Mucci	Fubar II (Fubar: Balls to the Wall)	Harper Collins	Thriller
319	Augustine McCarl	"Man Who Haunted Himself, The"	Penguin	Romancs
320	Cull Lux	I'm Gonna Git You Sucka	Penguin	Psychology
321	Nil Bartzen	Two Lovers	MacMillan	Science
322	Billi Openshaw	Eraserhead	MacMillan	Romancs
323	Finlay Hewlings	"Promise, The (Versprechen, Das)"	Penguin	Thriller
324	Ralina Burgwin	"Turning Point, The"	Hachette	Science
325	Timothee Esterbrook	"Necessities of Life, The (Ce qu'il faut pour vivre)"	Penguin	Self-help
326	Anselm Klossmann	The Possession of Michael King	Simon & Schuster	Romancs
327	Sheba Diaper	And Now a Word from Our Sponsor	Penguin	Romancs
328	Mada Glanz	Loser	MacMillan	Romancs
329	Valentijn Gellett	Saving Shiloh	Hachette	Thriller
330	Oswald Every	Philomena	Hachette	Romancs
331	Caritta Miettinen	Pacific Rim	Penguin	Self-help
332	Howard Pennetta	To Be Twenty	Penguin	Self-help
333	Shandeigh Suddick	"House of the Seven Gables, The"	Hachette	Psychology
334	Lane Yearne	Ondine	Simon & Schuster	Romancs
335	Alvy Baselio	"Brothers O'Toole, The"	Penguin	Thriller
336	Sanson Burger	Deathsport	Hachette	Romancs
337	Craggie Stormont	"Player's Club, The"	Harper Collins	Languages
338	Rose Tarling	Twins	MacMillan	Psychology
339	Victoria Beesey	Shade	Harper Collins	Psychology
340	Terri Lawtie	"Warrior, The"	Hachette	Science
341	Esdras Shreenan	Negative Happy Chainsaw Edge (Negatibu happî chênsô ejji)	Hachette	Self-help
342	Thomasa Farish	"Tall Men, The"	Hachette	Thriller
343	Nero Roper	Whirlpool	Hachette	Romancs
344	Christa Spears	I.Q.	Simon & Schuster	Science
345	Koren Zapata	Sunshine	Simon & Schuster	Self-help
346	Lorry Mingame	Rolling Thunder	Harper Collins	Thriller
347	Michaelina De Mitri	Last Resort	Penguin	Self-help
348	Gabi Tomlin	Firewalker	Harper Collins	Thriller
349	Tomasina Saffe	Gunfighter's Moon	Simon & Schuster	Thriller
350	Ferne Terry	Rollerball	Harper Collins	Psychology
351	Rosalia Harling	Earth	Hachette	Romancs
352	Jess Bonsale	Fantomas (Fantômas - À l'ombre de la guillotine)	Penguin	Romancs
353	Jobie Durand	Float	Harper Collins	Thriller
354	Michelina O'Lagene	"Prophet, A (Un Prophète)"	Harper Collins	Science
355	Calypso Brockest	"Sailor Who Fell from Grace with the Sea, The"	Harper Collins	Thriller
356	Jenifer Wallbank	Winter Passing	Harper Collins	Psychology
357	Yoshi Noyes	"Sisters, The"	MacMillan	Self-help
358	Maude Henstridge	Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2)	Harper Collins	Thriller
359	Randi Dawkes	Kingdom of the Spiders	Penguin	Self-help
360	Marcos Shakeshaft	West Side Story	Hachette	Science
361	Willdon Holleran	"League of Ordinary Gentlemen, A"	Simon & Schuster	Thriller
362	Lynnett Sandells	The Little Death	Simon & Schuster	Languages
363	Madlin Bordone	Inhuman Resources (Redd Inc.)	Hachette	Languages
364	Humbert Kynforth	Of Freaks and Men (Pro urodov i lyudey)	MacMillan	Romancs
365	Orton Armatys	Boxing Gym	Simon & Schuster	Thriller
366	Hall Westgate	Omar	Hachette	Thriller
367	Franky Arkil	Scooby-Doo! Curse of the Lake Monster	Penguin	Thriller
368	Tabor Stockman	My Old Lady	Hachette	Self-help
369	Burt Skells	Kiss of the Damned	Harper Collins	Romancs
370	Raleigh Weeden	24: Redemption	Harper Collins	Self-help
371	Trevor Bettles	Bully	Simon & Schuster	Romancs
372	Linea Annell	7 Days in Havana	MacMillan	Self-help
373	Pascal Trace	Autopsy (Macchie Solari)	Hachette	Self-help
374	Ezri Dumelow	Up in the Air	Harper Collins	Psychology
375	Jenica Bugg	"Aquí llega Condemor, el pecador de la pradera"	MacMillan	Self-help
376	Nickolai Schechter	Gunfight at the O.K. Corral	Simon & Schuster	Thriller
377	Tristan Yardley	Stranger on the Prowl (Imbarco a mezzanotte)	MacMillan	Psychology
378	Karlee Persent	"Perfect Storm, The"	MacMillan	Self-help
379	Addie MacIlhargy	"Odd Couple, The"	Hachette	Psychology
380	Selena Selkirk	How to Seduce Difficult Women	Penguin	Psychology
381	Rafe Pinchin	Cain and Mabel	Harper Collins	Psychology
382	Granthem Kliesl	"Touch of Sin, A (Tian zhu ding)"	Simon & Schuster	Languages
383	Halsy Sings	My Brother the Terrorist	Penguin	Languages
384	Alberta Dodman	Saratoga	Harper Collins	Thriller
385	Joanne Whittlesea	A Kind of America 2	Hachette	Science
386	Inness Weine	In the Shadow of Doubt (Epäilyksen varjossa)	Hachette	Languages
387	Elke Meegin	Crazy People	Penguin	Romancs
388	Erma Clatworthy	My Bodyguard	Penguin	Science
389	Jorry Tamlett	Oliver Twist	Hachette	Thriller
390	Katheryn Clemencet	Drowning by Numbers	MacMillan	Thriller
391	Marybelle Gosart	Marc Maron: Thinky Pain	Penguin	Self-help
392	Rickie Burburough	Nothing But the Night	Hachette	Romancs
393	Kissie Mawdsley	On the Double 	Simon & Schuster	Self-help
394	Casi MacCall	Green Dolphin Street	Simon & Schuster	Romancs
395	Leonhard Copo	Rest Stop	MacMillan	Science
396	Granger Broxton	Donkey Hide (Oslinaya shkura)	Hachette	Self-help
397	Ozzie Jannex	Dear Frankie	MacMillan	Thriller
398	Erma Gherardesci	All of Me	Harper Collins	Self-help
399	Bax Mozzi	Message in a Bottle	Hachette	Romancs
400	Stefania Mealand	Tin Man	Hachette	Thriller
401	William Burdas	It Started in Naples	Penguin	Romancs
402	Charita Fearnehough	Happiness Never Comes Alone (Un bonheur n'arrive jamais seul)	Harper Collins	Psychology
403	Antony Acosta	Phineas and Ferb the Movie: Across the 2nd Dimension	MacMillan	Languages
404	Shelia Bilverstone	Homefront	Harper Collins	Self-help
405	Lorry Sheardown	Adult World	Penguin	Self-help
406	Ivette Stoll	In the Soup	Hachette	Self-help
